0.16152,7.6764,0.57589,2.2972,0.25059
0.04408,0.38931,0.01593,0.35795,0.03916
0.04349,0.30903,0.17815,0.04368,0.0763
0.05813,0.38134,0.05941,0.26011,0.11588
0.11706,0.3505,0.12991,0.44733,0.11216
0.08391,0.14392,0.11279,0.2924,0.10312
0.13401,0.11679,0.12714,0.26898,0.09185
0.00804,0.22702,0.05008,0.05886,0.01214
0.00281,0.02651,0.00162,0.00874,0.00509
0.00597,0.04004,0.00907,0.00749,0.0032
0.00876,0.04765,0.01053,0.0099,0.00881
0.0137,0.04619,0.00522,0.02648,0.00845
0.01054,0.01666,0.00684,0.02438,0.01059
0.01414,0.015,0.0105,0.02656,0.00901
