-2.5346,0.81322,5.2513,0.98755,-2.0388
-0.52503,0.39103,1.0771,0.5484,-0.64122
-0.03429,0.16393,-0.43141,0.46072,0.06727
-0.1321,0.6198,-0.59588,0.02585,0.13439
0.01341,0.40126,-0.28788,-0.20168,0.05994
-0.05493,-0.05607,-0.14505,-0.03173,0.21659
-0.1878,-0.14594,0.60569,0.4383,-0.27696
-0.04576,0.5856,-0.133,-0.56677,-0.07143
-0.01952,0.09958,0.02562,-0.19778,-0.01426
-0.00593,-0.03508,0.05991,0.00703,-0.02588
-0.01056,0.02324,-0.04623,0.14499,-0.03053
0.01584,0.00184,-0.05389,0.15456,-0.01634
0.01032,-0.03203,0.00647,0.09357,-0.0049
0.0153,0.02947,0.04008,-0.11081,-0.00279
