0.92173,6.0192,1.3959,1.9431,0.52574
0.07493,0.10914,0.98086,0.32805,0.06199
0.08322,0.23596,0.31231,0.06093,0.08811
0.14323,0.41431,0.26232,0.21266,0.16488
0.13188,0.17107,0.2335,0.37614,0.11336
0.122,0.49547,1.057,0.22867,0.1223
0.15046,0.16285,0.23738,0.21589,0.13745
0.02863,0.22413,0.03056,0.03857,0.02724
0.00627,0.01166,0.01554,0.02143,0.0051
0.00556,0.03259,0.01737,0.01168,0.00411
0.00773,0.0668,0.02575,0.00753,0.00555
0.0078,0.02226,0.01535,0.01791,0.00995
0.00646,0.01519,0.0125,0.01709,0.00988
0.00991,0.01329,0.01453,0.01984,0.01141
