-2.4181,2.7799,4.26,0.3116,-2.4116
0.0097,0.2917,0.11441,0.00889,-0.09141
-0.28852,0.70859,0.21787,0.15643,-0.22959
-0.38376,1.4964,0.02356,0.30229,-0.36962
0.26532,-0.29487,-0.19038,-0.4907,0.24838
0.0981,-0.65209,-0.32093,0.45393,0.05349
0.15164,0.18536,-0.3759,0.12475,0.08217
-0.01649,0.5399,-0.12458,-0.25398,-0.0191
-0.00556,0.0498,-0.03944,0.06078,-0.01022
0.00724,0.01819,0.00841,-0.01499,-0.01855
0.0093,0.06664,-0.01486,-0.0098,-0.01339
0.01216,-0.02487,-0.0246,0.07949,-0.01482
0.01425,-0.12755,0.09278,-0.05125,-0.00294
0.01017,-0.04871,0.0006,0.04533,0.00292
